City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berlevag,NO,2022-07-16 23:50:52,70.8578,29.0864,51.8,93,100,19.57
1,Fethiye,TR,2022-07-16 23:50:52,36.6217,29.1164,69.67,36,0,6.29
2,Bom Jesus,BR,2022-07-16 23:50:53,-9.0744,-44.3586,73.92,41,4,2.95
3,Bambous Virieux,MU,2022-07-16 23:50:53,-20.3428,57.7575,70.05,73,40,13.8
4,Tuatapere,NZ,2022-07-16 23:50:53,-46.1333,167.6833,45.9,89,100,10.16
5,Sao Filipe,CV,2022-07-16 23:50:54,14.8961,-24.4956,75.63,84,13,8.63
6,Caravelas,BR,2022-07-16 23:50:54,-17.7125,-39.2481,70.23,87,3,4.79
7,Mataura,NZ,2022-07-16 23:50:33,-46.1927,168.8643,48.47,74,100,4.59
8,Airai,TL,2022-07-16 23:50:55,-8.9266,125.4092,61.41,78,82,4.05
9,New Norfolk,AU,2022-07-16 23:50:55,-42.7826,147.0587,53.92,80,98,4.0
10,Rikitea,PF,2022-07-16 23:50:55,-23.1203,-134.9692,72.81,76,99,12.53
11,Barahan,PH,2022-07-16 23:50:56,13.0121,120.762,82.6,75,100,1.83
12,Ushuaia,AR,2022-07-16 23:48:18,-54.8,-68.3,40.66,60,20,5.75
13,Pevek,RU,2022-07-16 23:50:56,69.7008,170.3133,35.49,98,100,10.27
14,Kapaa,US,2022-07-16 23:50:56,22.0752,-159.319,84.18,74,100,18.41
15,Tiksi,RU,2022-07-16 23:50:57,71.6872,128.8694,38.75,91,89,8.52
16,Naze,JP,2022-07-16 23:50:57,28.3667,129.4833,79.72,84,100,14.43
17,Kazanka,UA,2022-07-16 23:50:57,47.8462,32.8218,63.16,49,3,6.71
18,Georgetown,MY,2022-07-16 23:50:14,5.4112,100.3354,83.89,90,20,3.44
19,Dickinson,US,2022-07-16 23:50:58,29.4608,-95.0513,94.12,65,20,17.27
20,Bagdarin,RU,2022-07-16 23:50:59,54.4333,113.6,60.66,88,100,2.75
21,Xichang,CN,2022-07-16 23:50:59,27.8964,102.2634,72.3,87,98,1.1
22,The Valley,AI,2022-07-16 23:50:59,18.217,-63.0578,82.54,78,20,14.97
23,Bone,DE,2022-07-16 23:51:00,51.9669,12.1396,53.89,59,67,5.35
24,Eureka,US,2022-07-16 23:47:41,40.8021,-124.1637,71.13,74,32,8.99
25,Provideniya,RU,2022-07-16 23:51:01,64.3833,-173.3,54.0,56,75,7.34
26,Harper,LR,2022-07-16 23:51:01,4.375,-7.7169,75.16,85,100,9.57
27,Marzuq,YE,2022-07-16 23:51:01,14.4,46.4667,82.18,40,88,2.3
28,Cape Town,ZA,2022-07-16 23:49:02,-33.9258,18.4232,67.12,49,0,5.75
29,Kautokeino,NO,2022-07-16 23:51:02,69.0125,23.0412,47.59,95,100,11.07
30,East London,ZA,2022-07-16 23:51:02,-33.0153,27.9116,65.01,36,0,7.11
31,Butaritari,KI,2022-07-16 23:51:03,3.0707,172.7902,81.07,76,100,8.86
32,Norman Wells,CA,2022-07-16 23:51:03,65.282,-126.8329,69.84,52,75,16.11
33,Flinders,AU,2022-07-16 23:51:04,-34.5833,150.8552,64.06,53,1,9.98
34,Saint-Augustin,CA,2022-07-16 23:51:04,51.226,-58.6502,58.12,74,39,5.66
35,Bose,IT,2022-07-16 23:51:04,45.4612,8.0137,76.21,65,2,5.82
36,Pangnirtung,CA,2022-07-16 23:51:05,66.1451,-65.7125,51.26,60,78,2.3
37,Touros,BR,2022-07-16 23:51:05,-5.1989,-35.4608,75.34,89,48,13.49
38,Farafangana,MG,2022-07-16 23:51:05,-22.8167,47.8333,67.48,83,59,9.86
39,Barrow,US,2022-07-16 23:51:06,71.2906,-156.7887,44.62,76,100,14.97
40,Punta Arenas,CL,2022-07-16 23:49:35,-53.15,-70.9167,33.91,69,75,11.5
41,Puerto Ayora,EC,2022-07-16 23:51:07,-0.7393,-90.3518,67.55,96,41,5.99
42,Vila Franca Do Campo,PT,2022-07-16 23:51:07,37.7167,-25.4333,73.2,92,9,6.67
43,Nzerekore,GN,2022-07-16 23:51:07,7.7562,-8.8179,69.44,99,99,4.38
44,Busselton,AU,2022-07-16 23:51:08,-33.65,115.3333,56.77,72,99,9.46
45,Bredasdorp,ZA,2022-07-16 23:51:08,-34.5322,20.0403,60.3,34,69,7.29
46,Kodiak,US,2022-07-16 23:52:09,57.79,-152.4072,62.11,77,100,9.22
47,Arcachon,FR,2022-07-16 23:52:10,44.5875,-1.0519,77.41,38,0,6.91
48,Hobart,AU,2022-07-16 23:47:37,-42.8794,147.3294,54.27,69,40,10.36
49,Bilibino,RU,2022-07-16 23:52:10,68.0546,166.4372,53.83,61,69,17.83
50,Qui Nhon,VN,2022-07-16 23:52:11,13.7667,109.2333,81.72,78,75,5.99
51,Pozo Colorado,PY,2022-07-16 23:52:11,-23.4923,-58.7972,50.65,87,100,5.23
52,Bethel,US,2022-07-16 23:52:11,41.3712,-73.414,77.09,79,0,0.0
53,Evensk,RU,2022-07-16 23:52:12,61.95,159.2333,51.76,96,100,4.5
54,Behshahr,IR,2022-07-16 23:52:12,36.6923,53.5526,77.97,70,0,2.13
55,Hermanus,ZA,2022-07-16 23:52:13,-34.4187,19.2345,62.73,49,51,7.96
56,Fairbanks,US,2022-07-16 23:51:32,64.8378,-147.7164,65.61,71,75,6.91
57,Canico,PT,2022-07-16 23:52:13,32.6333,-16.85,69.71,85,20,0.0
58,Clyde River,CA,2022-07-16 23:52:13,70.4692,-68.5914,41.23,81,0,6.91
59,Kurtalan,TR,2022-07-16 23:52:14,37.9272,41.7028,80.51,23,0,1.83
60,Hilo,US,2022-07-16 23:52:14,19.7297,-155.09,84.27,94,100,11.5
61,Roald,NO,2022-07-16 23:52:15,62.5833,6.1333,55.17,82,75,9.22
62,Liverpool,GB,2022-07-16 23:50:01,53.4106,-2.9779,63.61,78,0,2.3
63,Leningradskiy,RU,2022-07-16 23:52:15,69.3833,178.4167,40.05,86,100,2.28
64,Albany,US,2022-07-16 23:49:31,42.6001,-73.9662,78.26,63,100,3.67
65,Broome,US,2022-07-16 23:51:00,42.2506,-75.833,78.19,64,0,6.91
66,Torata,PE,2022-07-16 23:52:16,-17.0769,-70.8433,54.86,36,7,2.26
67,Severo-Kurilsk,RU,2022-07-16 23:50:31,50.6789,156.125,55.56,90,100,3.4
68,Lavrentiya,RU,2022-07-16 23:52:16,65.5833,-171.0,53.76,61,78,10.27
69,Storrs,US,2022-07-16 23:52:17,41.8084,-72.2495,75.16,81,100,4.5
70,Port Alfred,ZA,2022-07-16 23:52:08,-33.5906,26.891,66.49,39,4,10.33
71,Vardo,NO,2022-07-16 23:52:17,70.3705,31.1107,53.58,87,40,11.5
72,Coquimbo,CL,2022-07-16 23:52:18,-29.9533,-71.3436,55.13,71,0,1.14
73,Pombia,IT,2022-07-16 23:52:18,45.653,8.6336,82.26,68,0,3.0
74,Bandarbeyla,SO,2022-07-16 23:52:18,9.4942,50.8122,78.96,63,92,33.31
75,Vaini,TO,2022-07-16 23:52:19,-21.2,-175.2,80.76,89,20,8.05
76,Khatanga,RU,2022-07-16 23:52:19,71.9667,102.5,63.05,51,24,6.87
77,Half Moon Bay,US,2022-07-16 23:52:20,37.4636,-122.4286,94.53,77,20,20.71
78,Avera,US,2022-07-16 23:52:20,33.194,-82.5271,85.55,74,85,4.05
79,Petropavlovsk-Kamchatskiy,RU,2022-07-16 23:52:20,53.0452,158.6483,61.39,94,75,4.47
80,Soe,ID,2022-07-16 23:52:21,-9.8607,124.284,67.32,80,76,6.04
81,Iqaluit,CA,2022-07-16 23:52:21,63.7506,-68.5145,60.53,59,75,16.11
82,Birao,CF,2022-07-16 23:52:21,10.2849,22.7882,70.23,96,67,4.34
83,Arraial Do Cabo,BR,2022-07-16 23:52:22,-22.9661,-42.0278,78.66,61,0,12.66
84,Longyearbyen,SJ,2022-07-16 23:52:22,78.2186,15.6401,53.44,66,0,6.91
85,Rabo De Peixe,PT,2022-07-16 23:52:23,37.8,-25.5833,72.28,72,75,10.36
86,Bluff,NZ,2022-07-16 23:52:07,-46.6,168.3333,48.79,72,100,20.31
87,Limenaria,GR,2022-07-16 23:52:23,40.6261,24.5786,79.95,68,2,7.11
88,Qaanaaq,GL,2022-07-16 23:52:23,77.484,-69.3632,49.08,78,33,7.43
89,Hithadhoo,MV,2022-07-16 23:52:24,-0.6,73.0833,83.26,75,18,15.41
90,Micheweni,TZ,2022-07-16 23:53:24,-4.9667,39.8333,74.57,80,84,12.28
91,Carnarvon,AU,2022-07-16 23:53:25,-24.8667,113.6333,66.65,52,91,6.42
92,French Harbor,HN,2022-07-16 23:53:26,16.35,-86.4333,84.2,87,75,9.22
93,Kargasok,RU,2022-07-16 23:53:26,59.0556,80.8572,52.59,94,94,5.93
94,Oyama,JP,2022-07-16 23:53:27,36.3,139.8,77.59,76,94,6.71
95,Tautira,PF,2022-07-16 23:53:27,-17.7333,-149.15,74.88,76,24,19.64
96,Jawhar,SO,2022-07-16 23:53:28,2.7809,45.5005,72.86,81,73,13.13
97,Kaeo,NZ,2022-07-16 23:51:02,-35.1,173.7833,61.32,73,5,4.9
98,Sri Aman,MY,2022-07-16 23:53:28,1.2376,111.4621,71.65,94,100,10.36
99,Tasiilaq,GL,2022-07-16 23:53:29,65.6145,-37.6368,40.48,67,99,3.96
100,Buala,SB,2022-07-16 23:53:29,-8.145,159.5921,82.53,76,87,10.65
101,Zhezkazgan,KZ,2022-07-16 23:53:29,47.8043,67.7144,73.89,44,11,8.1
102,Port Hardy,CA,2022-07-16 23:53:30,50.6996,-127.4199,59.18,88,75,3.44
103,Kisesa,TZ,2022-07-16 23:53:30,-3.0833,34.15,63.54,60,49,8.46
104,Okhotsk,RU,2022-07-16 23:53:31,59.3833,143.3,59.65,87,94,4.74
105,Port Hawkesbury,CA,2022-07-16 23:53:31,45.6169,-61.3485,74.32,67,40,0.0
106,Hashtrud,IR,2022-07-16 23:53:31,37.4779,47.0508,68.5,35,0,3.58
107,Elban,RU,2022-07-16 23:53:32,50.1018,136.5094,69.8,71,100,6.87
108,Tura,IN,2022-07-16 23:53:32,25.5198,90.2201,75.33,92,55,5.39
109,Kibala,TD,2022-07-16 23:53:33,9.1104,18.3463,73.35,94,0,8.05
110,Castro,BR,2022-07-16 23:53:33,-24.7911,-50.0119,72.03,48,85,11.18
111,Codrington,AU,2022-07-16 23:53:33,-38.2667,141.9667,51.8,83,87,17.81
112,Xai-Xai,MZ,2022-07-16 23:53:34,-25.0519,33.6442,67.06,76,81,8.61
113,Ucluelet,CA,2022-07-16 23:53:34,48.9329,-125.5528,63.09,82,98,3.0
114,Faranah,GN,2022-07-16 23:53:34,10.0404,-10.7434,71.46,95,100,9.33
115,Hualmay,PE,2022-07-16 23:53:35,-11.0964,-77.6139,61.29,82,29,11.52
116,Bengkulu,ID,2022-07-16 23:53:35,-3.8004,102.2655,75.52,84,97,3.49
117,Sambava,MG,2022-07-16 23:53:36,-14.2667,50.1667,67.64,80,26,9.73
118,Ca Mau,VN,2022-07-16 23:53:20,9.1769,105.15,78.93,90,60,3.98
119,Sitka,US,2022-07-16 23:48:56,57.0531,-135.33,60.69,82,100,5.75
120,Jamestown,US,2022-07-16 23:50:06,42.097,-79.2353,76.64,53,100,8.05
121,Saint-Philippe,RE,2022-07-16 23:53:36,-21.3585,55.7679,67.59,77,36,11.48
122,Benguela,AO,2022-07-16 23:53:36,-12.5763,13.4055,66.47,91,1,1.59
123,Axim,GH,2022-07-16 23:53:37,4.8699,-2.2405,75.67,83,100,11.25
124,Tazovskiy,RU,2022-07-16 23:53:37,67.4667,78.7,55.9,68,74,6.93
125,Upernavik,GL,2022-07-16 23:53:38,72.7868,-56.1549,42.64,91,100,12.35
126,Merauke,ID,2022-07-16 23:53:38,-8.4667,140.3333,79.2,71,71,16.8
127,Talnakh,RU,2022-07-16 23:50:58,69.4865,88.3972,60.21,48,100,4.81
128,Tabou,CI,2022-07-16 23:53:39,4.423,-7.3528,75.04,86,100,9.73
129,Aden,YE,2022-07-16 23:53:39,12.7794,45.0367,83.84,79,100,6.31
130,San Vicente,AR,2022-07-16 23:53:39,-26.6167,-54.1333,47.01,98,100,5.17
131,Vila Velha,BR,2022-07-16 23:53:40,-20.3297,-40.2925,73.35,88,0,11.5
132,Verkhoyansk,RU,2022-07-16 23:53:40,67.5447,133.385,52.74,83,100,3.78
133,Fortuna,US,2022-07-16 23:50:56,40.5982,-124.1573,70.86,72,26,8.01
134,Saint George,US,2022-07-16 23:54:41,37.1041,-113.5841,110.62,14,0,6.91
135,Healdsburg,US,2022-07-16 23:54:41,38.6105,-122.8692,107.01,28,0,5.01
136,Moroto,UG,2022-07-16 23:54:42,2.5345,34.6666,68.18,71,86,3.91
137,Goderich,CA,2022-07-16 23:54:42,43.7501,-81.7165,77.32,47,86,5.75
138,Lichinga,MZ,2022-07-16 23:54:42,-13.3128,35.2406,47.3,94,5,3.06
139,Batagay-Alyta,RU,2022-07-16 23:54:43,67.8006,130.4114,48.07,82,100,4.92
140,Kindu,CD,2022-07-16 23:54:43,-2.95,25.95,75.07,70,39,2.19
141,Kapoeta,SS,2022-07-16 23:54:43,4.7717,33.5903,73.72,74,75,1.77
142,Mushie,CD,2022-07-16 23:54:44,-3.0167,16.9,78.73,42,49,1.66
143,Chokurdakh,RU,2022-07-16 23:54:44,70.6333,147.9167,44.4,64,100,20.45
144,Shirokiy,RU,2022-07-16 23:54:45,49.758,129.523,66.27,97,100,4.41
145,Saint-Denis,FR,2022-07-16 23:54:45,48.9167,2.3333,72.14,49,0,11.5
146,Pisco,PE,2022-07-16 23:54:46,-13.7,-76.2167,63.01,72,9,9.22
147,Saskylakh,RU,2022-07-16 23:54:46,71.9167,114.0833,56.21,62,58,10.27
148,Chicama,PE,2022-07-16 23:54:46,-7.8447,-79.1469,59.54,80,9,7.87
149,Paragominas,BR,2022-07-16 23:54:47,-2.9667,-47.4833,78.91,66,99,3.2
150,Torbay,CA,2022-07-16 23:54:47,47.6666,-52.7314,66.97,69,40,14.97
151,Dikson,RU,2022-07-16 23:54:42,73.5069,80.5464,47.43,68,45,4.38
152,La Ronge,CA,2022-07-16 23:54:48,55.1001,-105.2842,79.05,47,40,6.91
153,Isangel,VU,2022-07-16 23:54:48,-19.55,169.2667,73.02,70,50,20.49
154,Lujan,AR,2022-07-16 23:50:02,-34.5703,-59.105,49.71,68,94,3.0
155,Acapulco,MX,2022-07-16 23:52:31,16.8634,-99.8901,82.35,81,99,12.17
156,Lorengau,PG,2022-07-16 23:54:49,-2.0226,147.2712,84.76,70,7,10.69
157,Vestmannaeyjar,IS,2022-07-16 23:54:49,63.4427,-20.2734,51.17,81,100,5.79
158,Namibe,AO,2022-07-16 23:54:49,-15.1961,12.1522,67.28,80,35,7.56
159,Faanui,PF,2022-07-16 23:54:50,-16.4833,-151.75,77.5,62,69,23.69
160,Kamenka,RU,2022-07-16 23:54:50,51.3223,42.7678,62.69,81,85,7.38
161,Nurma,RU,2022-07-16 23:54:51,59.55,31.0167,48.45,88,39,5.3
162,Bud,US,2022-07-16 23:54:51,39.447,-86.1758,88.05,64,44,5.12
163,Melilla,ES,2022-07-16 23:49:54,35.2937,-2.9383,77.38,83,0,4.61
164,Igrim,RU,2022-07-16 23:54:51,63.1906,64.4162,57.94,65,89,3.98
165,Atasu,KZ,2022-07-16 23:54:52,48.6814,71.6433,70.72,51,0,9.13
166,Hegang,CN,2022-07-16 23:54:52,47.4,130.3667,61.97,99,100,6.53
167,Gravina In Puglia,IT,2022-07-16 23:54:52,40.8197,16.4228,82.54,39,0,1.52
168,Mehamn,NO,2022-07-16 23:54:53,71.0357,27.8492,51.75,93,100,23.02
169,Kaspiyskiy,RU,2022-07-16 23:54:53,45.3929,47.3707,78.37,74,0,4.12
170,Nikolskoye,RU,2022-07-16 23:54:54,59.7035,30.7861,52.81,92,34,5.48
171,San Patricio,US,2022-07-16 23:54:54,28.017,-97.5169,92.53,47,6,15.59
172,Salalah,OM,2022-07-16 23:54:54,17.0151,54.0924,76.98,96,100,8.66
173,Langenzersdorf,AT,2022-07-16 23:54:55,48.3,16.35,69.24,64,86,1.01
174,Katsuura,JP,2022-07-16 23:54:55,35.1333,140.3,77.02,87,100,17.16
175,Yellowknife,CA,2022-07-16 23:53:34,62.456,-114.3525,64.92,82,75,3.44
176,Esperance,AU,2022-07-16 23:54:56,-33.8667,121.9,53.65,78,17,6.06
177,Margate,GB,2022-07-16 23:54:56,51.3813,1.3862,64.9,83,54,3.0
178,Venado Tuerto,AR,2022-07-16 23:54:56,-33.7456,-61.9688,43.77,67,54,7.56
179,Narsaq,GL,2022-07-16 23:54:57,60.9167,-46.05,42.33,81,83,4.38
180,Nara,JP,2022-07-16 23:54:25,34.6851,135.8049,81.91,63,45,6.06
181,Chuy,UY,2022-07-16 23:54:57,-33.6971,-53.4616,47.68,93,100,14.41
182,Awjilah,LY,2022-07-16 23:55:58,29.1081,21.2869,76.77,56,0,13.02
183,Husavik,IS,2022-07-16 23:55:58,66.0449,-17.3389,51.13,92,100,3.96
184,Korla,CN,2022-07-16 23:55:58,41.7597,86.1469,74.53,41,62,2.93
185,Komsomolskiy,UZ,2022-07-16 23:55:59,40.4272,71.7189,77.72,31,0,4.61
186,Port Elizabeth,ZA,2022-07-16 23:55:59,-33.918,25.5701,52.09,76,0,4.61
187,Shakawe,BW,2022-07-16 23:55:59,-18.3667,21.85,49.06,53,0,5.12
188,Klaksvik,FO,2022-07-16 23:56:00,62.2266,-6.589,50.92,87,53,15.9
189,Meulaboh,ID,2022-07-16 23:56:00,4.1363,96.1285,75.97,90,97,4.09
190,Vila,PT,2022-07-16 23:56:00,42.0304,-8.1588,64.71,76,50,4.16
